"fecha","BONOS","IGBVL","TC","TIR","Premio_riesgo"
2012-03-23,5.43450408163266,22953.79,2.67,4.25,22953.7356549592
2012-03-26,5.48333333333334,23334.57,2.67028571428571,4.25,23334.5151666667
2012-03-27,5.43301587301588,23650.62,2.67085714285714,4.25,23650.5656698413
2012-03-28,5.39857142857142,23537.51,2.66928571428571,4.25,23537.4560142857
2012-03-29,5.4253947368421,23335.12,2.66857142857143,4.25,23335.0657460526
2012-03-30,5.4,23612.02,2.66814285714286,4.25,23611.966
2012-04-02,5.42526315789474,24051.62,2.66771428571429,4.25,24051.5657473684
2012-04-03,5.43214285714286,24035.61,2.66771428571429,4.25,24035.5556785714
2012-04-04,5.4415909090909,23622.59,2.66742857142857,4.25,23622.5355840909
2012-04-09,5.42,23405.64,2.66742857142857,4.25,23405.5858
2012-04-10,5.41074074074074,23284.84,2.66642857142857,4.25,23284.7858925926
2012-04-11,5.4016923076923,23270.01,2.66457142857143,4.25,23269.9559830769
2012-04-12,5.41333333333333,23471.36,2.66057142857143,4.25,23471.3058666667
2012-04-13,5.37194444444444,23335.66,2.65828571428571,4.25,23335.6062805556
2012-04-16,5.32063829787234,23268.5,2.657,4.25,23268.446793617
2012-04-17,5.25153846153846,23361.21,2.65628571428571,4.25,23361.1574846154
2012-04-18,5.28333333333333,23274.98,2.65514285714286,4.25,23274.9271666667
2012-04-19,5.27538461538461,23149.97,2.65428571428571,4.25,23149.9172461538
2012-04-20,5.26970588235294,23264.9,2.65242857142857,4.25,23264.8473029412
2012-04-23,5.2625,22938.24,2.65271428571429,4.25,22938.187375
2012-04-24,5.23395348837209,22945.72,2.651,4.25,22945.6676604651
2012-04-25,5.19807692307692,22845.02,2.64971428571429,4.25,22844.9680192308
2012-04-26,5.15854166666666,22799.41,2.64585714285714,4.25,22799.3584145833
2012-04-27,5.13727272727273,22908.98,2.63885714285714,4.25,22908.9286272727
2012-05-02,5.03486486486487,22379.99,2.63728571428571,4.25,22379.9396513514
2012-05-03,4.98723404255319,22055.99,2.64028571428571,4.25,22055.9401276596
2012-05-04,4.95615384615385,22138.03,2.64385714285714,4.25,22137.9804384615
2012-05-07,4.97611111111111,21967.93,2.63957142857143,4.25,21967.8802388889
2012-05-08,5.044,21393.59,2.64342857142857,4.25,21393.53956
2012-05-09,5.09447368421053,21550.8,2.64642857142857,4.25,21550.7490552632
2012-05-10,5.09285714285714,21763.94,2.64857142857143,4.25,21763.8890714286
2012-05-11,5.1,21662.45,2.65571428571429,4.25,21662.399
2012-05-14,5.15,21255.2,2.666,4.25,21255.1485
2012-05-15,5.13196428571429,20871.12,2.67,4.25,20871.0686803571
2012-05-16,5.13666666666667,20856.99,2.66714285714286,4.25,20856.9386333333
2012-05-17,5.15333333333333,20622.02,2.67214285714286,4.25,20621.9684666667
2012-05-18,5.16912926829268,20501.81,2.66842857142857,4.25,20501.7583087073
2012-05-21,5.19851063829787,20680.89,2.67085714285714,4.25,20680.8380148936
2012-05-22,5.21857142857143,20726.59,2.67328571428571,4.25,20726.5378142857
2012-05-23,5.27566666666667,20536.83,2.69128571428571,4.25,20536.7772433333
